title,price,model_year,odo,aminities,specs,number_of_seats,drive_type,number_of_cylinders,body_type,transmission_type,fuel_type,rim_size,first_owner,accidents_(not_verified),currently_financed?,seller_nationality,no._of_keys,roof_type,color,service_history,warranty,service_contract
Hyundai Tucson I4 2.0L,"
SAR 46,000 ",2016 ,"99,000 KM","['Rear Mirror Camera', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system', 'Power foldable mirrors', 'Power Lumbar', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,4WD,4,SUV,Automatic,Petrol,17,Yes,2 accidents,No,Sudan,1,,,,,
Kia Sportage I4 2.4L,"
SAR 46,000 ",2016 ,"102,000 KM",[],GCC /Saudi Specs,5,AWD,4,SUV,Automatic,Petrol,R16,,2 accidents,No,Egypt,1,,,,,
Dodge Charger V6 3.6L,"
SAR 51,000 ",2015  ,"237,000 KM","['Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'premium sound premium audio premium audio system', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Power Lumbar', 'LED Headlights']",GCC /Saudi Specs,5,2WD,6,Sedan,Automatic,Petrol,18,,No,No,Saudi Arabia,1,,,Yes in Garage,,
Chevrolet Spark I4 1.6L,"
SAR 26,000 ",2020 ,"90,000 KM",['fog lamps fogdriving lights projector fog lamps'],GCC /Saudi Specs,5,2WD,4,Hatchback,Automatic,Petrol,١٥,Yes,1 accident,No,Saudi Arabia,1,,Black,Yes in Garage,,
Ford Taurus V6 3.5L,"
SAR 82,000 ",2017 ,"53,000 Miles","['Cruise Control', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Power Lumbar']",American Specs,5,2WD,6,Sedan,Automatic,Petrol,18,,No,No,,1,,,,,
Lexus LS460 V8 4.6L,"
SAR 120,000 ",2013 ,"215,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Remote engine starter', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Powered back door', 'Power Lumbar', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'lane departure alert lane watch lane departure warning', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,8,Sedan,Automatic,Petrol,19,,No,No,Saudi Arabia,1,Sun Roof,,Yes in Garage,,
BMW 318 I3 1.5L,"
SAR 46,000 ",2016 ,"165,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,3,Sedan,Automatic,Petrol,17,Yes,No,No,Saudi Arabia,1,Sun Roof,Brown,,,
Jeep Renegade I4 2.4L Sport,"
SAR 46,000 ",2016 ,"95,000 KM","['Cruise Control', 'Rear Mirror Camera', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'LED Headlights']",GCC /Saudi Specs,5,AWD,4,SUV,Automatic,Petrol,16,,No,No,Egypt,1,,,,,
Kia Rio I4 1.4L,"
SAR 24,500 ",2013 ,"119,000 KM",['Emergency braking assist'],GCC /Saudi Specs,4,2WD,4,Hatchback,Automatic,Petrol,١٤,,No,No,Pakistan,1,,Brown,,,
Jeep Cherokee V6 3.7L,"
SAR 22,000 ",2012 ,"353,000 KM","['Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'Bluetooth', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,4WD,6,SUV,Automatic,Petrol,17,Yes,No,No,Saudi Arabia,1,,White,,,
Hyundai Creta I4 1.6L,"
SAR 65,500 ",2020 ,"83,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'premium sound premium audio premium audio system', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,4,SUV,Automatic,Petrol,R16,,1 accident,No,Yemen,1,,,,,
Toyota Prado V6 4.0L TXL,"
SAR 72,000 ",2012 ,"276,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry']",GCC /Saudi Specs,7,4WD,6,SUV,Automatic,Petrol,١٧,Yes,2 accidents,No,Saudi Arabia,1,,,Yes in Garage,,
Jeep Wrangler I4 2.0L Unlimited Sport,"
SAR 145,000 ",2021 ,"55,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,4WD,4,SUV,Automatic,Petrol,17,,No,No,,2,Convertible Roof,,,,
GAC GS8 I4 2.0L,"
SAR 83,000 ",2021 ,"23,000 KM","['Graphical Head Up Display', 'front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', '360 Degree Camera, rear view camera 360 view', 'Rear Mirror Camera', 'Automated Parking', 'dynamic radar cruise control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Remote engine starter', 'Ambient LED interior lighting', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver Seat with Memory memory function seat memory', 'Power foldable mirrors', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'Power Lumbar', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,7,2WD,4,SUV,Automatic,Petrol,19,Yes,No,No,Syria,2,Panoramic Roof,,Yes In Agency,"Till Jan-2027 or 100,000 KM","Till 60,000 KM"
Chevrolet Caprice V8 6.0L LS,"
SAR 51,000 ",2013 ,"133,000 KM","['Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth']",GCC /Saudi Specs,5,AWD,8,Sedan,Automatic,Petrol,17,Yes,2 accidents,No,Saudi Arabia,1,,,,,
Toyota Avalon V6 3.5L,"
SAR 83,500 ",2017 ,"67,000 KM","['Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Remote engine starter', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Power foldable mirrors', 'Power Lumbar', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,6,Sedan,Automatic,Petrol,17,,1 accident,No,Saudi Arabia,2,Sun Roof,,,,
Lexus RX350 V6 3.5L,"
SAR 135,000 ",2016 ,"94,000 Miles","['Graphical Head Up Display', 'front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'Driver display', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'Electric Running Board', 'Powered back door', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'lane departure alert lane watch lane departure warning', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",American Specs,5,2WD,6,SUV,Automatic,Petrol,٢٠,,No,No,Saudi Arabia,2,Sun Roof,,,,
Changan Eado I4 1.4L Plus,"
SAR 66,500 ",2022 ,"54,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Rear Mirror Camera', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'premium sound premium audio premium audio system', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Power foldable mirrors', 'LED Headlights', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,16,,No,No,Saudi Arabia,1,Sun Roof,,,,
Audi Q3 I4 2.0L,"
SAR 195,000 ",2021 ,"19,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Powered back door', 'Power Lumbar', 'LED Headlights']",GCC /Saudi Specs,5,AWD,4,SUV,Automatic,Petrol,R19,,No,No,India,1,Panoramic Roof,,,,
GMC Yukon V8 5.3L SLE,"
SAR 148,000 ",2018 ,"128,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'Remote engine starter', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,9,4WD,8,SUV,Automatic,Petrol,18,Yes,No,No,Saudi Arabia,1,,,,,
Changan Eado I4 1.4L Plus,"
SAR 78,000 ",2023 ,"2,700 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', '360 Degree Camera, rear view camera 360 view', 'dynamic radar cruise control', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Remote engine starter', 'Ambient LED interior lighting', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'Electric Running Board', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'Power Lumbar', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,17,Yes,No,No,Saudi Arabia,2,Panoramic Roof,Grey,Yes In Agency,"Till 150,000 KM","Till 150,000 KM"
Nissan Patrol V6 4.0L SE Platinum,"
SAR 132,500 ",2018 ,"194,000 KM","['Graphical Head Up Display', 'front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'rear entertainment rear seat entertainment seatback video screens', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Remote engine starter', 'Ambient LED interior lighting', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver Seat with Memory memory function seat memory', 'Power foldable mirrors', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'Power Lumbar', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,8,4WD,6,SUV,Automatic,Petrol,20,Yes,2 accidents,No,Saudi Arabia,2,Sun Roof,,Yes In Agency,,
GMC Terrain I4 2.4L,"
SAR 29,000 ",2012 ,"252,000 KM","['Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system', 'Power Lumbar', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,AWD,4,SUV,Automatic,Petrol,18,,3 or more accidents,No,India,1,,,Yes in Garage,,
Lexus LS460 V8 4.6L,"
SAR 66,000 ",2012 ,"246,000 KM","['Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'dynamic radar cruise control', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver Seat with Memory memory function seat memory', 'Power foldable mirrors', 'Easy closer doors', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'Power Lumbar', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,8,Sedan,Automatic,Petrol,19,,No,No,Saudi Arabia,2,Sun Roof,Black,Yes in Garage,,
Jaguar XJ V6 3.0L,"
SAR 75,000 ",2013 ,"124,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Rear Mirror Camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'rear entertainment rear seat entertainment seatback video screens', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Ambient LED interior lighting', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'Power foldable mirrors', 'Powered back door', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'Power Lumbar', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,6,Sedan,Automatic,Petrol,19,Yes,No,No,Saudi Arabia,2,Panoramic Roof,Black,,,
Mercedes E300 V6 3.5L,"
SAR 90,000 ",2014 ,"189,000 KM","['Graphical Head Up Display', 'front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', '360 Degree Camera, rear view camera 360 view', 'Rear Mirror Camera', 'Automated Parking', 'dynamic radar cruise control', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Ambient LED interior lighting', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'Power foldable mirrors', 'Electric Running Board', 'Powered back door', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'Power Lumbar', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'lane departure alert lane watch lane departure warning', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,6,Sedan,Automatic,Petrol,١٨,,No,No,Saudi Arabia,2,Panoramic Roof,Blue,,,
BMW 730 V6 3.0L,"
SAR 78,000 ",2014 ,"133,000 Miles","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Remote engine starter', 'Ambient LED interior lighting', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'Easy closer doors', 'Powered back door', 'Power Lumbar', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",American Specs,5,2WD,6,Sedan,Automatic,Petrol,19,,No,No,Saudi Arabia,2,Sun Roof,Black,,,
Mercedes E200 I4 2.0L,"
SAR 69,500 ",2014 ,"169,000 KM","['Cruise Control', 'dynamic radar cruise control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Leather Seats', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,17,,No,No,Pakistan,1,Sun Roof,,,,
Mercedes E200 I4 2.0L EMC,"
SAR 73,000 ",2018 ,"267,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Powered back door', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'LED Headlights', 'Emergency braking assist']",GCC Specs,5,2WD,4,Sedan,Automatic,Petrol,16,,No,No,Jordan,1,,Black,,,
Hyundai Elantra i4 1.6L,"
SAR 55,000 ",2019 ,"170,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,15,,No,No,Saudi Arabia,1,,,,,
Toyota Land Cruiser V8 5.7L VXR,"
SAR 180,000 ",2016 ,"249,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Rear Mirror Camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Remote engine starter', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Power Lumbar', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,8,4WD,8,SUV,Automatic,Petrol,R18,,No,No,Saudi Arabia,1,Sun Roof,,,,
Kia Sportage I4 2.4L,"
SAR 115,000 ",2021 ,"58,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Remote engine starter', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Power foldable mirrors', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'Power Lumbar', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'lane departure alert lane watch lane departure warning', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,AWD,4,SUV,Automatic,Petrol,19,Yes,No,Yes,,,Panoramic Roof,,,,
Renault Symbol I4 1.6L,"
SAR 27,000 ",2020 ,"12,000 KM","['Bluetooth', 'premium sound premium audio premium audio system']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,15,Yes,2 accidents,No,Saudi Arabia,2,,White,Yes In Agency,,
Kia Sportage I4 2.0L,"
SAR 37,800 ",2016 ,"153,000 KM","['Cruise Control', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Power Lumbar', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,4,SUV,Automatic,Petrol,17,Yes,1 accident,Yes,,1,,White,,,
Toyota Prado I4 2.7L TXL,"
SAR 95,000 ",2015 ,"231,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'premium sound premium audio premium audio system', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Power foldable mirrors', 'Power Lumbar', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,7,4WD,4,SUV,Automatic,Petrol,17,Yes,No,No,Saudi Arabia,2,,,,,
