Amenities,Bedrooms,Bathrooms,Area (m²),Furnished,Level,Ad Type,Type,Payment Option,price,title,location,Compound
"Balcony,Electricity Meter,Water Meter,Natural Gas",2,1,100,No,5,For Sale,Apartment,Cash,"750,000 EGPnegotiable",شقة للبيع بموقع متميز,Maadi,
"Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Covered Parking,Maids Room,Pets Allowed,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,96,No,5,For Sale,Apartment,Cash,"1,100,000 EGPnegotiable",للبيع تشطيب سوبر لوكس ٩٦م بسعر لقطه في b7,Madinaty,Madinaty
"Balcony,Private Garden,Security,Maids Room,Pets Allowed",3,2,171,No,Ground,For Sale,Apartment,Cash,"1,600,000 EGP",فرصة لعظيم شقة بحديقة ٣٠٠ متر بالخمايل موق...,Zamalek,2020 Compound
,1,1,250,No,5,For Sale,Apartment,Cash,"1,000,000 EGP",سطح كامل للبيع العماره 5 أدوار فقط م نصر ا...,Nasr City,
"Balcony,Covered Parking,Pets Allowed,Private Garden,Security,Electricity Meter",2,1,140,No,Ground,For Sale,Apartment,Cash,"400,000 EGP",شقة للبيع بدجلة بالمز طريق الواحات,New Cairo - El Tagamoa,Degla Palms
"Security,Electricity Meter",3,2,110,No,Ground,For Sale,Apartment,Cash,"750,000 EGP",شقة في كمبوند معادي جاردن,Mokattam,Maadi Gardens
Balcony,3,2,220,No,Ground,For Sale,Apartment,Cash,"1,430,000 EGP",شقه بموقع متميز المقطم,Mokattam,
,3,2,200,No,3,For Sale,Apartment,Cash,"2,500,000 EGP",Mr Ihab,Maadi,
Balcony,2,4,100,No,2,For Sale,Apartment,Cash,850 EGPnegotiable,شقة 100م للبيع,New Cairo - El Tagamoa,
"Private Garden,Covered Parking,Natural Gas",3,2,165,No,3,For Sale,Apartment,Cash,"1,200,000 EGP",شقة بمدينة الشروق,Shorouk City,
,3,1,120,No,10,For Sale,Apartment,Cash,"520,000 EGPnegotiable",شقه للبيع,Ezbet El Nakhl,
,2,1,70,Yes,1,For Sale,Apartment,Cash,"500,000 EGP",شقه 70متر مكونه حجرتين وصاله امام الجامعه ...,New Cairo - El Tagamoa,
Built in Kitchen Appliances,3,1,140,No,9,For Sale,Apartment,Cash,"950,000 EGP",شقه للبيع في مصر الجديده,Heliopolis,
,3,1,94,,4,For Sale,Apartment,Cash,"450,000 EGP",شقة للبيع بالتجمع الخامس الحى الثالث دور ر...,New Cairo - El Tagamoa,
"Balcony,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Elevator",2,2,130,No,2,For Sale,Apartment,Cash,"1,370,000 EGP",شقه فى فيفث سكوير,New Cairo - El Tagamoa,Fifth Square
"Balcony,Private Garden,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas",3,3,251,No,1,For Sale,Apartment,Cash,"19,000 EGPnegotiable",شقة للبيع ٢٥١م بشيراتون,Heliopolis,
,2,1,82,No,5,For Sale,Apartment,Cash,"1,150,000 EGP",للبيع بمدينتي شقه 82م تشطيبات خاصه بجوار ا...,Rehab City,
,3,1,100,No,5,For Sale,Apartment,Cash,"300,000 EGPnegotiable",شقه للبيع,Ezbet El Nakhl,
,3,2,135,Yes,10,For Sale,Apartment,Cash,"1,350,000 EGPnegotiable",شقة فاخرة في عين شمس للبيع,Ain Shams,
"Pets Allowed,Electricity Meter,Water Meter,Landline,Elevator",2,1,110,No,9,For Sale,Apartment,Cash,"400,000 EGPnegotiable",شقة 110م بعين شمس تشطيب سوبر لوكس,Downtown Cairo,
"Balcony,Pets Allowed,Electricity Meter,Natural Gas,Elevator",2,2,140,No,7,For Sale,Apartment,Cash,"817,000 EGPnegotiable",شقه لقطه في النزهة الجديده من المالك مباشر...,New Nozha,
"Balcony,Built in Kitchen Appliances,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,200,No,1,For Sale,Apartment,Cash,"2,850,000 EGPnegotiable",للبيع شقة فى الفيلا دور أول 200 م تشطيب ال...,New Cairo - El Tagamoa,
"Natural Gas,Landline",3,1,137,No,1,For Sale,Apartment,Cash,"1,200,000 EGP",شقه بالقرب من نادي وادي دجله المعادي,Zahraa Al Maadi,
"Natural Gas,Landline",2,1,60,No,4,For Sale,Apartment,Cash,"350,000 EGP",شقه سوبر لوكس للبيع في مدينه النور عبود,Zawya al-Hamra,
,3,3,205,Yes,5,For Sale,Apartment,Cash,"300,000 EGP",شقة فاخرة في شارع المنيل الرئيسي للبيع و ل...,Al Manial,
"Electricity Meter,Water Meter,Natural Gas,Landline",2,1,75,,Ground,For Sale,Apartment,Cash,"265,000 EGP",للبيع مجاةرة ١٥,15 May City,
"Balcony,Security,Maids Room,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,155,No,9,For Sale,Apartment,Cash,"1,100,000 EGPnegotiable",شقه للبيع بحى السفارات مدينة نصر,Nasr City,
Elevator,3,3,169,No,2,For Sale,Apartment,Cash,"1,300,000 EGP",شقة للبيع باللوتس الجنوبية بجوار ال90,New Cairo - El Tagamoa,
,2,2,128,No,3,For Sale,Apartment,Cash,"1,500,000 EGPnegotiable",Apparent in Sakanat Maadi,Maadi,Not in Compound
,3,2,180,No,3,For Sale,Apartment,Cash,"980,000 EGP",شقه للبيع,Nasr City,
,4,3,210,,2,For Sale,Apartment,Cash,"9,500 EGP",فرصه للبيع,Nasr City,2020 Compound
"Balcony,Security,Covered Parking,Natural Gas,Landline,Elevator,Electricity Meter,Water Meter",2,1,110,No,3,For Sale,Apartment,Cash,"1,100,000 EGP",شقة للبيع في مدينة نصر,Nasr City,
"Balcony,Maids Room,Electricity Meter,Water Meter,Natural Gas,Elevator",4,3,270,No,10+,For Sale,Apartment,Cash,"750,000 EGP",شقة للبيع٢٧٠م,Helmeya al-Gadeda,
,2,2,120,,5,For Sale,Apartment,Cash,"240,000 EGP",شقه ١٢٠متر بالعاصمة بدون اوفر,Badr City,Roses
,4,3,273,Yes,7,For Sale,Apartment,Cash,"5,700,000 EGPnegotiable",شقه علي كورنيش المعادي,Maadi,
Balcony,3,1,133,No,2,For Sale,Apartment,Cash,"590,000 EGP",المنطقه التامنه اقل الاسعار جانبي علي جارد...,Shorouk City,
"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Elevator",2,2,120,,3,For Sale,Apartment,Cash,"650,000 EGP",شقه للبيع نص تشطيب بسعر لقطه لسرعه البيع,Mokattam,
"Electricity Meter,Elevator",3,3,150,,8,For Sale,Apartment,Cash,"1,000,000 EGP",شقه للبيع في البارون علي الدأئري,Maadi,
"Balcony,Electricity Meter,Natural Gas",2,1,65,No,3,For Sale,Apartment,Cash,"430,000 EGP",شقة للبيع,New Cairo - El Tagamoa,
,2,1,89,No,2,For Sale,Apartment,Cash,"1,000,000 EGP",للبيع شقه بمدينتي 89متر B6,Madinaty,Madinaty
"Built in Kitchen Appliances,Balcony,Natural Gas,Electricity Meter,Water Meter",2,1,110,No,1,For Sale,Apartment,Cash,"450,000 EGPnegotiable",شقة بعمارات منتصر بموقع متميز بين فيصل و ا...,New Cairo - El Tagamoa,
,3,1,90,No,3,For Sale,Apartment,Cash,"450,000 EGP",شقة 90م للبيع في البساتين,Basateen,
"Balcony,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,138,No,9,For Sale,Apartment,Cash,"1,135,000 EGP",شقه للبيع بجراند جيت المعادي. معمار المرشد...,Maadi,Grand Gate
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",2,4,120,No,5,For Sale,Apartment,Cash,"470,000 EGPnegotiable",شقة بموقع متميز بالشرابية,Sharabeya,
"Balcony,Electricity Meter,Natural Gas,Elevator",2,1,120,No,5,For Sale,Apartment,Cash,"500,000 EGPnegotiable",شقه للبيع,Ezbet El Nakhl,
,3,1,145,No,7,For Sale,Apartment,Cash,800 EGPnegotiable,ابو محمد,Hadayek al-Kobba,
,3,2,200,No,7,For Sale,Apartment,Cash,"1,750,000 EGP",شقه للبيع زهراء المعادى جراند ستى,Zahraa Al Maadi,
,3,1,90,No,4,For Sale,Apartment,Cash,"275,000 EGP",شقه للبيع,Salam City,
,3,1,140,No,1,For Sale,Apartment,Cash,"1,500,000 EGP",شقة للبيع شارع حسن افلاطون,Heliopolis,Not in Compound
"Electricity Meter,Natural Gas,Landline,Elevator",2,1,130,No,8,For Sale,Apartment,Cash,"975,000 EGPnegotiable",شقه 130متشطيبه تسطيب عالي برج وواجهة رخام ...,Hadayek al-Kobba,
,2,1,119,No,2,For Sale,Apartment,Cash,"550,000 EGP",شقة للبيع,Maadi,
Balcony,3,3,200,No,4,For Sale,Apartment,Cash,"1,180,000 EGPnegotiable",شقة ٢٠٠ متر صافي للبيع مدينة نصر الحي السا...,Nasr City,
"Balcony,Central A/C & heating,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Elevator",2,1,125,Yes,8,For Sale,Apartment,Cash,"1,200,000 EGP",شقه للبيع في انور المفتي خلف طيبه مول وخطو...,Nasr City,
,3,2,165,,4,For Sale,Apartment,Cash,"1,100,000 EGPnegotiable",Hussan Alanani,Mokattam,Florenta
,3,2,200,No,3,For Sale,Apartment,Cash,"1,800,000 EGP",شقة للبيع بغرب ارابيلا بالتجمع الخامس م ٢٠...,New Cairo - El Tagamoa,
,3,2,186,No,8,For Sale,Apartment,Cash,"1,650,000 EGP",دوبلكس الترا لوكس 186م/2018 بم نصر,Nasr City,
,2,2,120,,3,For Sale,Apartment,Cash,"790,000 EGP",شقة متشطبة للبيع,Maadi,Not in Compound
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,136,No,2,For Sale,Apartment,Cash,"420,000 EGP",شقه للبيع,Ain Shams,
,2,1,78,No,Ground,For Sale,Apartment,Cash,"1,100,000 EGP",تخصيص قواات مسلحه 78م ////D,Madinaty,Madinaty
"Electricity Meter,Elevator",2,1,64,Yes,5,For Sale,Apartment,Cash,"220,000 EGP",شقه في الاسكندريه,Almazah,
"Balcony,Built in Kitchen Appliances,Private Garden,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,120,Yes,4,For Sale,Apartment,Cash,"900,000 EGPnegotiable",شقه تمليك للبيع بالزيتون بسعر مغري سوبر لو...,Ain Shams,
,3,1,115,,8,For Sale,Apartment,Cash,"875,000 EGP",شقة للبيع مرخصه علي الرائيسي بالقرب من كني...,Helmeyat El Zaytoun,
"Security,Electricity Meter,Water Meter,Elevator",3,2,150,No,10+,For Sale,Apartment,Cash,"180,000 EGP",شقه للبيع بالنزهه ٢,Heliopolis,
,3,2,108,No,2,For Sale,Apartment,Cash,"1,500,000 EGPnegotiable",شقه بالرحاب للبيع بالمرحله الاولى مساحه 10...,Rehab City,Rehab City
"Security,Electricity Meter,Water Meter,Natural Gas,Elevator",8,5,475,No,10,For Sale,Apartment,Cash,"2,500,000 EGP",دور كامل مساحه 475 متر على 3 شقق,Heliopolis,
"Balcony,Central A/C & heating,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,107,No,2,For Sale,Apartment,Cash,"1,200,000 EGP",للبيع كاش بمدينتي شقه 107م في B2,Madinaty,Madinaty
,2,2,96,No,5,For Sale,Apartment,Cash,"1,200,000 EGP",شقه بيع بمدينتي ٩٦م في البي٧ تشطيبات خاصه ...,Madinaty,
"Electricity Meter,Water Meter,Natural Gas",2,1,67,No,4,For Sale,Apartment,Cash,"265,000 EGP",للبيع مجاورة ١٨,15 May City,
,3,2,116,No,2,For Sale,Apartment,Cash,"1,250,000 EGP",شقه بيع بمدينتي ١١٦م في البي١١ بسعر تجاري,Madinaty,Madinaty
"Electricity Meter,Water Meter,Natural Gas,Landline",2,1,75,No,Ground,For Sale,Apartment,Cash,"275,000 EGP",للبيع شقه مجاورة ١٨,15 May City,
"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,230,No,8,For Sale,Apartment,Cash,"2,250,000 EGPnegotiable",Apartment,Heliopolis,
,3,1,130,No,3,For Sale,Apartment,Cash,"780,000 EGP",١٣٠م استلام فوري,New Cairo - El Tagamoa,
"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,96,No,2,For Sale,Apartment,Cash,"600,000 EGPnegotiable",شقه96م للبيع شروق م نصر,Nasr City,VGK
"Electricity Meter,Water Meter,Natural Gas",2,1,75,No,Ground,For Sale,Apartment,Cash,"250,000 EGP",شقه للبيع مجاورة ١٨,15 May City,
"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,96,No,2,For Sale,Apartment,Cash,"2,300,000 EGP",شقتين ٩٦م متجاورتين.B11 فيو وايد جاردن,Madinaty,Madinaty
"Balcony,Built in Kitchen Appliances,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,167,Yes,5,For Sale,Apartment,Cash,"2,200,000 EGPnegotiable",لهواة المعادي القديمة,Maadi,
"Electricity Meter,Water Meter,Natural Gas,Landline",3,1,108,No,Ground,For Sale,Apartment,Cash,"400,000 EGP",للبيع مجاورة ٢٧,15 May City,
,2,1,120,No,2,For Sale,Apartment,Cash,"530,000 EGP",شقه للبيع عالنيل مباشرة كورنيش المعادى تصل...,Maadi,
,3,1,115,No,1,For Sale,Apartment,Cash,"90,000 EGP",شقه للبيع في سكن مصر ارض المعارض مرحله اول...,New Cairo - El Tagamoa,
"Balcony,Electricity Meter,Water Meter,Natural Gas",2,1,63,No,Ground,For Sale,Apartment,Cash,"215,000 EGPnegotiable",شقة ٦٣ متر مدينة العبور,Obour City,
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,110,No,Ground,For Sale,Apartment,Cash,"600,000 EGPnegotiable",المقطم الهضبه الوسطي,Mokattam,
,3,3,175,No,2,For Sale,Apartment,Cash,"1,750,000 EGP",شقة للبيع داخل كمبوند ستون ريزيدينس مساحة ...,New Cairo - El Tagamoa,Stone Residence
"Balcony,Built in Kitchen Appliances,Central A/C & heating,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline",3,3,200,No,1,For Sale,Apartment,Cash,"3,350,000 EGP",للبيع شقة ٢٠٠م بالنرجس ٢ فيلات تشطيب الترا...,New Cairo - El Tagamoa,
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,180,No,1,For Sale,Apartment,Cash,"820,000 EGPnegotiable",شقه سوبر لوكس,Obour City,
,3,3,175,No,2,For Sale,Apartment,Cash,"1,837,500 EGP",شقة 175 م ناصية برايم لوكيشن بستون ريزيدين...,New Cairo - El Tagamoa,Stone Residence
"Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,130,No,2,For Sale,Apartment,Cash,"260,000 EGP",دار مصر بدر مرحله تانيه مستلم بسعر تجاااار...,New Cairo - El Tagamoa,Dar Misr
"Balcony,Built in Kitchen Appliances,Central A/C & heating,Covered Parking,Pets Allowed,Private Garden,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,170,,Ground,For Sale,Apartment,Cash,"32,000,000 EGP",شـــــقــــــتــــك بـــمـــــســـاحـــه ف...,Rehab City,Rehab City
"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas",2,1,70,No,3,For Sale,Apartment,Cash,"480,000 EGP",شقه في التجمع التالت الشباب للبيع,New Cairo - El Tagamoa,
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,110,No,6,For Sale,Apartment,Cash,"900,000 EGPnegotiable",شقة لقطة في اغاخان شبرا مصر لقطططططة,Shubra,
"Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,82,No,3,For Sale,Apartment,Cash,"950,000 EGP",شقه للبيع بمدينتي b7 مساحة 82م تشطيب خاص ف...,Madinaty,Madinaty
,2,2,140,No,1,For Sale,Apartment,Cash,"1,190,000 EGP",شقة 140 م 8500 للمتر بكمبوند ستون ريزيدينس,New Cairo - El Tagamoa,Stone Residence
,4,3,200,No,Ground,For Sale,Apartment,Cash,"3,550,000 EGP",بنتهاوس275م تشطيب كامل علي حمام السباحة با...,New Cairo - El Tagamoa,Stone Residence
,2,1,115,No,4,For Sale,Apartment,Cash,"400,000 EGP",شقه لقطه للبيع 15مايو مجاوره 7 مساحه 115م,Helwan,
,3,1,120,,10+,For Sale,Apartment,Cash,"450,000 EGP",شقه في النزهة ٢ جسر السويس,Gesr Al Suez,
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,135,No,5,For Sale,Apartment,Cash,"1,200,000 EGP",شقه للبيع في مدينه نصر الحي الثامن سوبر لو...,Nasr City,
Balcony,2,1,75,No,3,For Sale,Apartment,Cash,"280,000 EGPnegotiable",شقة للبيع في الغردقة علي المفتاح تشطيب عال...,Downtown Cairo,Not in Compound
"Electricity Meter,Water Meter,Natural Gas",2,1,67,No,3,For Sale,Apartment,Cash,"200,000 EGP",شقه للبيع,New Cairo - El Tagamoa,
"Balcony,Private Garden,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Landline,Elevator",2,1,108,No,Ground,For Sale,Apartment,Cash,"1,250,000 EGP",بمدينتي شقه ارضي بحديقه 108م +50م حديقه تش...,Madinaty,Madinaty
,2,1,125,No,7,For Sale,Apartment,Cash,"850,000 EGPnegotiable",شقة بالنافورة للبيع,Mokattam,
,2,2,96,,1,For Sale,Apartment,Cash,"1,350,000 EGPnegotiable",شقه ٩٦ متر للبيع - تشطيب خاص بالكامل,Madinaty,Madinaty
"Balcony,Pets Allowed,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,200,No,3,For Sale,Apartment,Cash,"3,800,000 EGP",شقه 200 متر متشطبه بالكامل للبيع 3 غرف نوم...,New Cairo - El Tagamoa,Mivida
Balcony,3,1,75,No,3,For Sale,Apartment,Cash,"185,000 EGPnegotiable",شقة للبيع الدور الثالث,Ain Shams,
,3,3,224,No,1,For Sale,Apartment,Cash,"1,900,000 EGP",شقه ٢٢٤ م علي شارع التسعين مباشره امام ميف...,New Cairo - El Tagamoa,Mivida
"Balcony,Security,Covered Parking,Maids Room,Pets Allowed,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",4,3,255,No,4,For Sale,Apartment,Cash,"4,100,000 EGP",Great opportunity (Apartment for sale Dire...,New Cairo - El Tagamoa,Eastown
"Balcony,Maids Room,Pets Allowed,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Elevator",3,3,200,No,2,For Sale,Apartment,Cash,"3,600,000 EGP",Apartment Fully finished with Heaters for ...,New Cairo - El Tagamoa,Mivida
,2,1,70,No,6,For Sale,Apartment,Cash,"200,000 EGP",شقة بالهانوفيل للبيع,Hadayek Helwan,
,2,1,65,,2,For Sale,Apartment,Cash,800 EGP,شقة بميدان الحليمة سوبر لوكس,Helmeyat El Zaytoun,
"Balcony,Covered Parking,Pets Allowed,Private Garden,Electricity Meter,Water Meter,Elevator",4,3,400,No,Highest,For Sale,Apartment,Cash,"850,000 EGP",روف400م لقطه للبيع باطلاله مميزه جداجدا عل...,Shorouk City,
"Balcony,Electricity Meter,Water Meter,Natural Gas",2,1,84,No,3,For Sale,Apartment,Cash,"330,000 EGP",شقة ٨٤ متر حلوان,Helwan,
"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas",3,2,131,No,3,For Sale,Apartment,Cash,"1,950,000 EGP",للبيع بشقه ١٣١م بموقع متميزفيو جاردن,Rehab City,Rehab City
,3,3,200,No,1,For Sale,Apartment,Cash,"2,800,000 EGP",النرجس فيلا شقه للبيع قريب من فندق التوليب,New Cairo - El Tagamoa,Not in Compound
"Electricity Meter,Natural Gas",2,1,120,No,9,For Sale,Apartment,Cash,"250,000 EGPnegotiable",عقارات,Shubra,
"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,110,No,4,For Sale,Apartment,Cash,"550,000 EGPnegotiable",شقة بآخر شارع الجزائر الشطر العاشر عمارات ...,Maadi,
Balcony,3,2,134,No,2,For Sale,Apartment,Cash,"510,000 EGP",بالشروق ٢ شقة ١٣٤ متر,Shorouk City,
,3,1,90,,1,For Sale,Apartment,Cash,"230,000 EGP",شقه للبيع,Marg,
"Balcony,Built in Kitchen Appliances,Central A/C & heating,Covered Parking,Maids Room,Pets Allowed,Private Garden,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,130,No,3,For Sale,Apartment,Cash,"1,930,000 EGPnegotiable",شقة 130 م سوبر لوكس استلام فورى فى كمبوند ...,New Cairo - El Tagamoa,Galleria Moon Valley
"Balcony,Security,Electricity Meter,Water Meter,Elevator,Pets Allowed",3,2,135,No,5,For Sale,Apartment,Cash,"1,650,000 EGP",شقة للبيع بمدينتي ١٣٥م في b2,Madinaty,
"Balcony,Built in Kitchen Appliances,Central A/C & heating,Covered Parking,Maids Room,Pets Allowed,Private Garden,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,152,No,3,For Sale,Apartment,Cash,"2,197,000 EGPnegotiable",شقة 152 م للبيع متشطبة الترا سوبر لوكس فى ...,New Cairo - El Tagamoa,Galleria Moon Valley
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,120,No,9,For Sale,Apartment,Cash,"460,000 EGP",شقة للبيع,Maadi,
"Balcony,Built in Kitchen Appliances,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,120,Yes,3,For Sale,Apartment,Cash,"2,250,000 EGP",٢٢٥٠٠٠٠,New Nozha,Capital Heights 2
,2,1,100,No,7,For Sale,Apartment,Cash,"525,000 EGP",شقه للبيع من جسر السويس أمام مستشفى منشيه ...,Heliopolis,
"Balcony,Built in Kitchen Appliances,Private Garden,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,110,Yes,9,For Sale,Apartment,Cash,"400,000 EGPnegotiable",شقة بمدينة فيصل عمارة 10 الأسكندريه,New Cairo - El Tagamoa,
,2,1,145,No,2,For Sale,Apartment,Cash,"900,000 EGP",شقه للبيع بالحي الثالث بجوار نادي الاطباء ...,Obour City,
"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Elevator",3,2,124,No,1,For Sale,Apartment,Cash,"1,370,000 EGP",شقة للبيع في مدينتي ١٢٤م في b6,Madinaty,
"Security,Covered Parking",2,1,86,No,1,For Sale,Apartment,Cash,"570,000 EGPnegotiable",شقه للبيع,New Cairo - El Tagamoa,
,2,2,96,No,Ground,For Sale,Apartment,Cash,"1,300,000 EGPnegotiable",شقه للبيع في مدينتي,Madinaty,Madinaty
"Balcony,Security",3,1,135,No,1,For Sale,Apartment,Cash,"850,000 EGP",امتلك شقة135متر في مكان مميز بجوار كمبوندا...,Nasr City,
"Electricity Meter,Water Meter",2,1,65,No,2,For Sale,Apartment,Cash,"250,000 EGP",شقه للبيع,Shorouk City,
"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,202,No,6,For Sale,Apartment,Cash,"900,000 EGP",للبيع شقة 200 متر بكمباوند مون سيتي بمصر ا...,Heliopolis,Moon City
"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,140,No,5,For Sale,Apartment,Cash,"900,000 EGP",شقة للبيع ٣غرف وريسيبشن قطعتين,Hadayek al-Kobba,
"Balcony,Covered Parking,Maids Room,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,4,326,,2,For Sale,Apartment,Cash,"4,500,000 EGP",شقة تشطيب سوبر لوكس بمدينتي - مساحة 327م B...,Madinaty,Madinaty
"Balcony,Private Garden,Security",3,2,149,No,Ground,For Sale,Apartment,Cash,"2,050,000 EGPnegotiable",شقه ارضى بحديقه امتلك فى مدينتى شقه 149+ 6...,Madinaty,Madinaty
,3,2,96,,Ground,For Sale,Apartment,Cash,"1,150,000 EGP",شقةىارضي بحديقة بمدينتي ٩٦م غربي وتطل على ...,Madinaty,
"Balcony,Built in Kitchen Appliances,Electricity Meter,Natural Gas,Landline,Elevator",3,1,165,No,1,For Sale,Apartment,Cash,"900,000 EGP",شقه سوبر لوكس,Hadayek Helwan,
"Maids Room,Pets Allowed,Security,Pool",3,3,202,,3,For Sale,Apartment,Cash,"2,250,000 EGP",Apartment in Mountain View Hydepark - Read...,New Cairo - El Tagamoa,
"Balcony,Pets Allowed,Security,Pool,Elevator",3,3,202,,2,For Sale,Apartment,Cash,"2,200,000 EGP",شقه للبيع بسعر و موقع مميز في ماونتن فيو ه...,New Cairo - El Tagamoa,Mountain View Hyde Park
"Balcony,Built in Kitchen Appliances,Central A/C & heating,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Elevator",3,3,167,No,3,For Sale,Apartment,Cash,"1,600,000 EGP",شقه متشطبه جديد جاهزه للسكن الفوري,Maadi,Baron City
"Balcony,Security,Electricity Meter,Elevator",3,2,180,No,3,For Sale,Apartment,Cash,"2,750,000 EGPnegotiable",فرصه بجد فى الرحاب شقه 180م بسعر ممتاز تشط...,Rehab City,Rehab City
"Balcony,Built in Kitchen Appliances,Central A/C & heating,Covered Parking,Maids Room,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",4,4,320,Yes,2,For Sale,Apartment,Cash,"5,000,000 EGPnegotiable",#امتلك بمدينتي نموزج 700 بأفضل نسبة تميـــ...,Madinaty,Madinaty
Electricity Meter,3,2,126,No,5,For Sale,Apartment,Cash,"800,000 EGPnegotiable",شقة للبيع بعمارات الفتح -حي السفارات -مدين...,Nasr City,
"Balcony,Security,Electricity Meter",2,2,96,No,2,For Sale,Apartment,Cash,"1,100,000 EGP",لقطه للبيع بمدينتي ٩٦م فالبي ١١ فيو مفتوح ...,Madinaty,Madinaty
"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Maids Room,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,180,No,Ground,For Sale,Apartment,Cash,"3,250,000 EGP",للبيع شقة 180متر ارضي بحديقه 60متر تشطيبات...,Rehab City,Rehab City
Balcony,2,1,95,No,Ground,For Sale,Apartment,Cash,"315,000 EGP",شقه للبيع لدواعي السفر بارقي اماكن الشروق,Shorouk City,
,2,1,120,No,8,For Sale,Apartment,Cash,"900,000 EGP",شقة للبيع 120 متر فى مدينة نصر المنطقة الث...,Nasr City,
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,130,No,2,For Sale,Apartment,Cash,"550,000 EGP",شقة للبيع,Nasr City,
"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Landline,Elevator",3,2,165,No,Ground,For Sale,Apartment,Cash,"565,000 EGPnegotiable",شقة للبيع بالحي التاسع دور ارضي مرتفع 165م...,Obour City,
Security,3,2,153,No,2,For Sale,Apartment,Cash,"1,800,000 EGP",للبيع في الرحاب,Rehab City,Rehab City
,1,1,50,No,4,For Sale,Apartment,Cash,"460,000 EGPnegotiable",فرصه لن تتكرر استوديو ٥٠م,Heliopolis,
,2,2,96,No,Ground,For Sale,Apartment,Cash,"1,450,000 EGP",للبيع شقه بمدينتي 96متر B7,Madinaty,Madinaty
,3,1,150,No,7,For Sale,Apartment,Cash,"1,200,000 EGP",شقه للبيع,Hadayek al-Kobba,
,3,3,327,,4,For Sale,Apartment,Cash,"3,900,000 EGP",باقل سعر للبيع شقة بمدينتى 327م B1 تطل على...,Madinaty,
"Balcony,Electricity Meter",3,3,235,No,1,For Sale,Apartment,Cash,"1,750,000 EGP",شقه للبيع كمبوند الأصيل بسعر محروق,New Cairo - El Tagamoa,
