title,location,bedrooms,bathrooms,area,price,compound,location_neighborhood,location_city,Partly_furnished,Security,Balcony,Shared_Gym,Networked,Shared_Pool,View_of_Water,View_of_Landmark,Children's_Play_Area,Barbecue_Area,Covered_Parking,Shared_Spa,Unfurnished,Kitchen_Appliances,Central_A/C,Children's_Pool,Concierge,Built_in_Wardrobes,Lobby_in_Building,Study,Walk-in_Closet,Pets_Allowed,Maid_Service,Private_Garden,Maids_Room,Private_Gym,Private_Jacuzzi,Private_Pool,Furnished
apartment at azadir for sale 130M very good price,"Azadir, North Investors Area, New Cairo City, Cairo",3,2,130,1787500.0,0,North Investors Area, New Cairo City,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Apartment  at Midtown sky with discount 40%,"Midtown Sky, New Capital Compounds, New Capital City, Cairo",2,1,90,495000.0,1,New Capital Compounds, New Capital City,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Apartment for sale in Mivida, Fifth Settlement","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,200,3750000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
Apartment 190 m for sale in The Icon compound near the AUC,"The Icon Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,190,2470000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Apartment in a prime location in Beit El Watan, Fifth Settlement","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,2,142,983800.0,0,The 5th Settlement, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apartment 198m for sale in the Water Way Compound,"The Water Way, North Investors Area, New Cairo City, Cairo",3,3,198,5544000.0,1,North Investors Area, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
For Sale fully finished Apartment ready to move,"90 Avenue, South Investors Area, New Cairo City, Cairo",3,2,154,3300000.0,0,South Investors Area, New Cairo City,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Apartment sale waterway compound over waterfeautre,"The Water Way, North Investors Area, New Cairo City, Cairo",3,2,198,5500000.0,1,North Investors Area, New Cairo City,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
Fully finished apartment in compound one katamya,"One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",2,2,124,1400000.0,1,El Katameya, New Cairo City,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Apartment- UTC - Alto - 2 BD -3.500.000,"Alto, Uptown Cairo, Mokattam, Cairo",2,2,130,3500000.0,0,Uptown Cairo, Mokattam,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Apartment 140m for sale in Mountain Hyde Park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,140,2200000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Apartment,one Kattameya120m high area main street","One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",2,2,120,750000.0,1,El Katameya, New Cairo City,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0
215m Apartment in Lake View Residence,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,215,3017500.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0
unit 158 m + garden 96 m in Galleria Moon Valley,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,3,158,1980000.0,0,South Investors Area, New Cairo City,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Apartment for sale in Sarayat El Maadi,"Sarayat Al Maadi, Hay El Maadi, Cairo",3,3,205,2400000.0,0,Sarayat Al Maadi, Hay El Maadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apartment for sale -156m-with discount 10%,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,3,156,972000.0,0,The 5th Settlement, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment 163m for sale at the squer sabbour 5th.,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,163,1420000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
Mivida - Under Market Price - Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,186,3200000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Apartment for sale at Stone Residence prime loc.,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,175,2424200.0,1,The 5th Settlement, New Cairo City,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Sky Condo with NO over in Villette sodic,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,190,2750000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Apartment 210m in The Square Delivery now        .,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,210,1850000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
Apartment In Lake view Residence,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,266,5106000.0,1,The 5th Settlement, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apartment for sale in Madinaty  Garden View,","Madinaty, Cairo",2,2,96,950000.0,0,Madinaty,Madinaty,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
For sale apartment 239m in mivida -new cairo,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,4,239,5400000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0
apartment for sale - banfsg and super lux finishes,"Ibrahim Al Mazny St., El Banafseg 10, El Banafseg, New Cairo City, Cairo",3,2,210,2300000.0,0,El Banafseg, New Cairo City,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1
Duplex ground+first finished for sale-Chwaifat,"Akhnaton St., District 5, The 5th Settlement, New Cairo City, Cairo",4,4,350,3900000.0,0,The 5th Settlement, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastown- Apartment 190 Sqm with garden 140 Sqm,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,190,3200000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
for sale Apartment very good price and location...,"Ibn Al Nafis St., 6th Zone, Nasr City, Cairo",3,2,250,1900000.0,0,6th Zone, Nasr City,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Apartment  for salein Fifth Settlement,"Salah Al Din Square, District 4, The 5th Settlement, New Cairo City, Cairo",2,2,137,1600000.0,0,The 5th Settlement, New Cairo City,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Apartment in Palm Hills New Cairo_Fifth Settlement,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,143,1824000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0
Un Repeated Deal at SODIC KATAMEYA PLAZA New Cairo,"Al Katameya Plaza, The 1st Settlement, New Cairo City, Cairo",3,4,230,4200000.0,0,The 1st Settlement, New Cairo City,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0
Fully finished apartment 350000& 20 Y inestallment,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",2,2,125,350000.0,0,South Investors Area, New Cairo City,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Apartment in Ard el golf on Garden,"Ahmed Tayseer St., Ard El Golf, Heliopolis - Masr El Gedida, Cairo",4,2,220,2700000.0,0,Ard El Golf, Heliopolis - Masr El Gedida,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apartment round Floor For Sale 160 SQ.M,"New Narges, New Cairo City, Cairo",3,3,160,1360000.0,0,New Narges, New Cairo City,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Apartment for sale in Madinaty wide garden View.,"Madinaty, Cairo",3,3,235,2750000.0,0,Madinaty,Madinaty,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Apartment 135m for sale in Dejoya new capital,"De Joya, New Capital Compounds, New Capital City, Cairo",3,2,135,1282500.0,1,New Capital Compounds, New Capital City,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment for sale 214 m in Swan Lake Hassan Alaam,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",3,2,214,570000.0,0,The 1st Settlement, New Cairo City,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Apartment fully finished in compound mivida Emaar,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,200,3350000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Ground floor + Private pool in Lakeview Residence,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,185,2415000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Apartment with garden for sale at Stone Residence,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,155,2367500.0,1,The 5th Settlement, New Cairo City,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Great Opportunity in Neopolis price 7900 LE/M2 !!!,"Neopolis   Wadi Degla, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,138,643000.0,1,Mostakbal City Compounds, Mostakbal City - Future City,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0
Apartment 158 meters for sale at Tag Sultan,"Tag Sultan, Ring Road, Cairo",2,2,158,2400000.0,0,Tag Sultan, Ring Road,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
apartment for sale 185m with 6000 monthly payment,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",4,3,185,1800000.0,0,The 5th Settlement, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment 230m with garden for sale at water way,"The Water Way, North Investors Area, New Cairo City, Cairo",3,3,230,1629900.0,0,North Investors Area, New Cairo City,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
Ground Floor apartment in Lake view Residence,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,122,1450000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Apartment for sale in Square with wonderful view,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,175,1540000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Apt in Midtown Sky With Discount 10% Over 7 Years,"Midtown Sky, New Capital Compounds, New Capital City, Cairo",2,2,140,1588000.0,1,New Capital Compounds, New Capital City,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Apartment For Sale 186 With Garden In Mivida Emaar,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,186,4500000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Apartment for sale in El Banafseg buildings 135 m,"El Banafseg Apartment Buildings, El Banafseg, New Cairo City, Cairo",2,2,135,1500000.0,0,El Banafseg, New Cairo City,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
fully finished apartment for sale in rivan,"Rivan, New Capital Compounds, New Capital City, Cairo",2,2,110,1642000.0,1,New Capital Compounds, New Capital City,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Apartment For sale Mountain View Hyde Park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,274,3150000.0,1,The 5th Settlement, New Cairo City,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
apartment 176m in Village Gardens Katameya,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,176,2300000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment 190m for sale in Palm Hills New Cairo,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,190,2500000.0,1,The 5th Settlement, New Cairo City,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fully furnished Apt. in MV Ex. prime location   .,"Mountain View Executive, Al Andalus District, New Cairo City, Cairo",2,2,142,2500000.0,0,Al Andalus District, New Cairo City,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Premium location 268m at lake view ressidence    .,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,268,4100000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
2 Bedrooms + Maid In Eastown Besides AUC,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,155,2500000.0,1,The 5th Settlement, New Cairo City,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Apartment 212m great location in Green Avenue R7,"Green Avenue, New Capital Compounds, New Capital City, Cairo",3,3,212,2491000.0,1,New Capital Compounds, New Capital City,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
apartment 133 meter with garden 80 meter finished,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,133,3000000.0,1,The 5th Settlement, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for sale apartment 210m in elpatio7 fully finished,"El Patio 7, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,210,4250000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
own your desired unit in swan lake fully finished,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",1,1,92,3200000.0,0,The 1st Settlement, New Cairo City,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
Apartment receive immediate in the city of Sunrise,"Granda, 5th District, Shorouk City, Cairo",4,3,176,2100000.0,0,5th District, Shorouk City,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0
Amazing apartment 150m in east town prime location,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,150,2350000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Apartment in Hyde Park- Park Corner 135 m,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,135,232000.0,1,The 5th Settlement, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fully Furnished apartment in Degla -Maadi–FOR SALE,"Street 233, Degla, Hay El Maadi, Cairo",5,4,440,4000000.0,0,Degla, Hay El Maadi,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fully finished 3 Apartments in choueifat,"Al Shouyfat, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,250,4200000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
For sale - Apartment 155m in palm hills VGk,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,155,1700000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Apartment for sale in The Icon Residence compound,"The Icon Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,180,2000000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0
172m Apartment in Tag Sultan Overlooking Main Park,"Tag Sultan, Ring Road, Cairo",3,3,172,2250000.0,0,Tag Sultan, Ring Road,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Super Lux Apartment +garden Century City New Cairo,"Century City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,172,2542500.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0
Apartment 155 m for sale at Hayati Residence,"Hayati Residence, North Investors Area, New Cairo City, Cairo",3,2,155,1650000.0,0,North Investors Area, New Cairo City,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
The Square Sabbour Apartment Prime Location 170m,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,170,1750000.0,1,The 5th Settlement, New Cairo City,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Apartment for sale 232 m + 103 m private garden,"Oia, New Capital Compounds, New Capital City, Cairo",3,2,232,350000.0,1,New Capital Compounds, New Capital City,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
Apartment for sale in Al Rehab,"Taher Abo Fasha St., Rehab City First Phase, Al Rehab, New Cairo City, Cairo",3,3,155,1870000.0,0,Al Rehab, New Cairo City,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
For Sale Apartment 216.94 m in Mivida,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,217,7810000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apartment fully finished in ganoub el academya,"Al Shaimaa St., Area F, Ganoob El Acadimia, New Cairo City, Cairo",3,2,200,2750000.0,0,Ganoob El Acadimia, New Cairo City,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0
شقه بالحي الرابع بجوار الفيو زون تقسيط علي 6 سنوات,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",4,3,212,1230000.0,0,The 5th Settlement, New Cairo City,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0
شقه بالاندلس الجديده بفيو مفتوح استلام فوري تقسيط,"Al Andalus El Gedida, Al Andalus District, New Cairo City, Cairo",3,2,145,980000.0,0,Al Andalus District, New Cairo City,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
شقه علي شارع رئيسي بجوار الفيو زون تقسيط 6 سنوات,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,2,152,874000.0,0,The 5th Settlement, New Cairo City,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0
امتلك عيادة بالتقسيط بمول جراند الشروق بموقع متميز,"13th Neighborhood, 3rd District East, Shorouk City, Cairo",1,1,81,1700000.0,0,3rd District East, Shorouk City,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
امتلك شقتك في بلوم فيلدز بمقدم 5% و تقسيط علي 10 سنين,"Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,2,135,1900000.0,1,Mostakbal City Compounds, Mostakbal City - Future City,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
شقه 103م للبيع بمدينتي B6 تطل على حديقه,"Madinaty, Cairo",3,2,103,1200000.0,0,Madinaty,Madinaty,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
شقه للبيع تشطيب - بالتكيفات والمطبخ 139متر التجمع,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,139,3336000.0,1,The 5th Settlement, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
شقة مميزة للبيع فى البنفسج عمارات – التجمع الخامس,"El Banafseg Apartment Buildings, El Banafseg, New Cairo City, Cairo",3,2,170,1950000.0,0,El Banafseg, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
امتلك شقتك فى ماونتن بمقدم 10% وقسط حتي 10 سنات,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1,2,70,1470000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0
شقه امام العاصمه الاداريه تقسيط 4 سنين بدون فوائد,"El Motamayez District, Badr City, Cairo",3,2,170,490000.0,0,El Motamayez District, Badr City,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
شقه لقطه للبيع بمدينتي116م فيو علي السنترال بارك,"Madinaty, Cairo",3,2,116,1200000.0,0,Madinaty,Madinaty,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
شقة في R7 في العاصمة الادارية بمقدم 150 الف,"Sueno, New Capital Compounds, New Capital City, Cairo",3,3,150,150000.0,1,New Capital Compounds, New Capital City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
شقة فى النرجس موقع مميز تشطيب كامل بسعر لقطة,"El Narges Buildings, Al Narges, New Cairo City, Cairo",3,2,162,1600000.0,0,Al Narges, New Cairo City,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
apartment for saleف العاصمة بالتقسيط التشطيب علينا,"Town Gate, New Capital Compounds, New Capital City, Cairo",3,3,190,203000.0,1,New Capital Compounds, New Capital City,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
شقة للبيع في مدينة نصر 130 متر الترا سوبر لوكس,"Mahmoud Khairy St., 1st Zone, Nasr City, Cairo",2,1,130,1600000.0,0,1st Zone, Nasr City,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
فرصة مميزة جدا شقة بمشروع زد التجمع الخامس       .,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,106,2500000.0,1,The 5th Settlement, New Cairo City,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
شقتك بالعاصمه الاداريه الجديدة بافضل موقع,"Town Gate, New Capital Compounds, New Capital City, Cairo",3,3,190,1482000.0,1,New Capital Compounds, New Capital City,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
امتلك وحدتك الان في جولف بورتو  كايرو مستقبل سيتي,"Golf Porto Cairo, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,2,148,625000.0,1,Mostakbal City Compounds, Mostakbal City - Future City,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0
نفسك تسكن في اسبانيا لافيري حققتلك حلمك,"La Verde, New Capital Compounds, New Capital City, Cairo",3,3,175,190000.0,1,New Capital Compounds, New Capital City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
شقه تحفه ارضى بجاردن  158+60حديقه تشطيبات خاصه,"Madinaty, Cairo",3,3,158,2500000.0,0,Madinaty,Madinaty,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
