title,price,location,property_type,bedrooms,bathrooms,area,amenities,creattion_date
شقه208م للبيع فى كابيتال جاردنز بالم هيلز تسهيلات,"
          2,450,000
              EGP  ","Capital Gardens   Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,3 ,3 ,208 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Lobby in Building', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Shared Pool', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 month ago
Ready to move in apartment with only 30 % installment at mokattam,"
          1,548,000
              EGP  ","Hassan Al Akbar St., Al Hadaba Al Olya, Mokattam, Cairo",Apartment,3 ,3 ,215 sqm,"['Unfurnished', 'Security', 'Private Garden', 'Pets Allowed', ""Children's Play Area"", 'Covered Parking']",Listed:1 month ago
شقة بجاردن 360 م كومباوند ماهيكا التجمع قسط 80 شهر,"
          2,330,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,360 sqm,"['Unfurnished', 'Security', 'Private Garden', 'View of Landmark']",Listed:2 months ago
شقة لقطه للبيع في مدينتي 116م باقل اوفر,"
          1,120,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,116 sqm,[],Listed:1 month ago
لبيع استوديه ميدتاون اسكاى ار7 بلعاصمه الاداريه,"
          545,000
              EGP  ","Midtown Sky, New Capital Compounds, New Capital City, Cairo",Apartment,studio ,1 ,90 sqm,"['Unfurnished', 'Security', 'Private Garden', 'Concierge', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 month ago
شقه135م بيع فى بلوم فيلدزالمستقبل سيتى تقسيط10سنين,"
          1,847,000
              EGP  ","Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,2 ,3 ,135 sqm,"['Unfurnished', 'Security', 'Private Garden', ""Children's Pool"", 'Lobby in Building', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Shared Pool', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 month ago
شقة فى مصر الجديدة ورا  نادى هليوبوليس,"
          4,500,000
              EGP  ","Al Merghany St., Ard El Golf, Heliopolis - Masr El Gedida, Cairo",Apartment,4 ,2 ,360 sqm,"['Unfurnished', 'Security', 'Study', 'View of Landmark']",Listed:1 month ago
شقـة للـبيع 380 م بيت الوطن قرب التسعين قسط 80 شهر,"
          1,990,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,380 sqm,"['Unfurnished', 'Security', 'Private Garden', 'Walk-in Closet', 'View of Landmark']",Listed:2 months ago
شقة بكمبوند تاج سيتي جاهزة للاستلام             .,"
          1,132,000
              EGP  ","Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,1 ,1 ,80 sqm,"['Unfurnished', 'Security', 'Balcony', 'Shared Gym', 'Pets Allowed', 'Shared Spa']",Listed:1 month ago
شقة للبيع بكمبوند ميدتاون سكاي بالعاصمة الادارية,"
          1,900,000
              EGP  ","Midtown Sky, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,190 sqm,"['Unfurnished', 'Security', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Covered Parking']",Listed:1 month ago
شقه روعه بڤيو خيالي للبيع,"
          2,520,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,175 sqm,[],Listed:1 month ago
أمتلك بأرخص سعر متر سكنى فالعاصمة شقة120م,"
          844,800
              EGP  ","Roses, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,120 sqm,"['Unfurnished', 'Security', 'Balcony', 'View of Water', 'View of Landmark', 'Covered Parking']",Listed:1 month ago
شقه تطل على فيلات الحى الدوبلوماسى مباشرة والممشى,"
          130,000
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,120 sqm,"['Unfurnished', 'Security', 'Concierge', 'Balcony', 'Shared Gym', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:2 months ago
شقه 290 متر سوبر لوكس بحرى تطل على حديقه  دور اول,"
          2,200,000
              EGP  ","Mohammed Al Maqref St., 6th Zone, Nasr City, Cairo",Apartment,3 ,3 ,290 sqm,"['Unfurnished', 'Kitchen Appliances', 'Central A/C', 'Security', 'Networked', 'Pets Allowed', 'View of Landmark', ""Children's Play Area""]",Listed:1 month ago
شقة بجاردن 330م كومباوند ماهيكا بيت الوطن قسط70شهر,"
          2,150,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,1 ,330 sqm,[],Listed:2 months ago
للبيع ب مدينتي شقه 200م بسعر خارج المنافسه,"
          1,000,000
              EGP  ","Madinaty, Cairo",Apartment,4 ,3 ,200 sqm,[],Listed:2 months ago
للبيع شقة على (البحيرة) كومباوند زيزينيا المستقبل بالقاهرة الجديدة,"
          1,697,000
              EGP  ","Zizinia Al Mostakbal, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,3 ,3 ,261 sqm,[],Listed:4 months ago
Apartment For Sale in Hyde Park 203 meters,"
          1,908,350
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,203 sqm,"['Unfurnished', 'Security', 'Maid Service', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:20 hours ago
"50% discount on cash in Sarai, Fifth Settlement.","
          867,000
              EGP  ","Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,1 ,1 ,60 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', 'Lobby in Building', 'Balcony', 'Networked', 'Pets Allowed', 'View of Water', 'View of Landmark', 'Barbecue Area', 'Shared Spa']",Listed:1 day ago
Prime location apartment in Mountain View iCity,"
          2,450,000
              EGP  ","Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,3 ,220 sqm,"['Unfurnished', 'Kitchen Appliances', 'Central A/C', 'Security', 'Concierge', 'Balcony', 'Walk-in Closet', 'Networked', 'Pets Allowed']",Listed:23 hours ago
Furnished Apt With Nile View For Sale In Zamalek,"
          6,000,000
              EGP  ","Mohamed Maraashly St., Zamalek, Cairo",Apartment,3 ,3 ,220 sqm,"['Furnished', 'Kitchen Appliances', 'Security']",Listed:34 minutes ago
Sunny Apartment for Sale Close To French School,"
          4,500,000
              EGP  ","Sarayat Al Maadi, Hay El Maadi, Cairo",Apartment,4 ,3 ,246 sqm,"['Furnished', 'Kitchen Appliances', 'Private Jacuzzi', 'Security', ""Children's Pool"", 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Walk-in Closet', 'Networked', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Covered Parking']",Listed:1 day ago
Luxury apartment for Sale in Madinaty -B 11,"
          1,800,000
              EGP  ","Madinaty, Cairo",Apartment,2 ,2 ,116 sqm,[],Listed:3 hours ago
المنصور اقوى مشروع بمدينة نصر TRUE شقة محسوبة صح,"
          703,300
              EGP  ","True, Nasr City Compounds, Nasr City, Cairo",Apartment,3 ,2 ,108 sqm,"['Partly furnished', 'Security', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Networked', 'Shared Pool', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:2 hours ago
Apartment For Sale-Maadi Cornish- Fully funished.,"
          1,350,000
              EGP  ","Cornish El Nile St., Maadi, Hay El Maadi, Cairo",Apartment,1 ,2 ,135 sqm,"['Partly furnished', 'Kitchen Appliances', 'Security', 'Balcony', 'Covered Parking']",Listed:2 hours ago
Apartment for sale Sarai1050000 instead of 2100000,"
          1,050,000
              EGP  ","Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,3 ,2 ,148 sqm,"['Unfurnished', 'Security', 'Private Garden', 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 hour ago
متشطبة بالتكييفات بمقدم504 ألف تسليم بعد 6 شهور,"
          505,000
              EGP  ","Fifth Square, North Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,160 sqm,"['Unfurnished', 'Central A/C', 'Security', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:4 minutes ago
Apartment 86 meter for sale in Hyde park,"
          900,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,studio ,2 ,86 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Shared Gym', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:18 hours ago
Apartment For sale in Hyde Park fully finished,"
          2,500,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,170 sqm,"['Unfurnished', 'Kitchen Appliances', 'Central A/C', 'Security', ""Children's Pool"", 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:19 hours ago
Apt Prime Location With 10%Dp in Sarai New Cairo,"
          1,584,000
              EGP  ","Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,3 ,3 ,148 sqm,"['Unfurnished', 'Security', 'Balcony', 'Study', 'Networked', 'Pets Allowed', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:1 day ago
Apartment 202 Sqm  Sale in mountain View hydepark,"
          2,250,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,202 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Lobby in Building', 'Balcony', 'Shared Gym', 'Maids Room', 'Study', 'Walk-in Closet', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:18 hours ago
Apartment at Galleria moon valley  Pool View 300 M,"
          3,500,000
              EGP  ","Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",Apartment,4 ,4 ,300 sqm,"['Unfurnished', 'Security', 'Balcony', 'Pets Allowed']",Listed:1 day ago
Apartment Ground With Garden at East Town.,"
          3,650,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,203 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', 'Private Garden', 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Balcony', 'Study', 'Walk-in Closet', 'Networked', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area']",Listed:1 day ago
"2Bedroom Apartment 90,000 Dp the rest over 9 Years","
          1,800,000
              EGP  ","HAP Town, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,2 ,2 ,140 sqm,"['Unfurnished', 'Kitchen Appliances', 'Central A/C', 'Security', ""Children's Pool"", 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 day ago
Flat 160M For Sale N Galleria With Excellent Price,"
          1,950,000
              EGP  ","Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",Apartment,3 ,2 ,160 sqm,"['Unfurnished', 'Security', 'Balcony', 'Shared Gym', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:1 day ago
Apartment 155m for sale in Hyde Park Compound,"
          1,500,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,155 sqm,"['Unfurnished', 'Kitchen Appliances', 'Central A/C', 'Security', ""Children's Pool"", 'Concierge', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:19 hours ago
Apartment For sale in Hyde Park opportunity,"
          2,000,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,4 ,190 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Shared Gym', 'Maids Room', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:18 hours ago
Apartment For sale-Maadi degla -Cairo super lux .,"
          2,200,000
              EGP  ","Street 218, Degla, Hay El Maadi, Cairo",Apartment,3 ,3 ,250 sqm,"['Partly furnished', 'Kitchen Appliances', 'Security', 'Balcony', 'Networked', 'Covered Parking']",Listed:1 day ago
Apartment  Fully finished New Capital|Discount 20%,"
          1,611,600
              EGP  ","Capital Heights 2, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,119 sqm,"['Unfurnished', 'Security', 'Concierge', 'Balcony', 'Study', 'Networked', 'Shared Pool', 'Pets Allowed', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:17 hours ago
FOR SALE UNFURNISHED FLAT The Village- ALL SMART,"
          2,700,000
              EGP  ","The Village, South Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,146 sqm,"['Furnished', 'Kitchen Appliances', 'Central A/C', 'Security', 'Maid Service', 'Networked', 'Pets Allowed', 'Covered Parking']",Listed:3 hours ago
إستلام فورى بمقدم 35% على شارع رئيسي من التسعين,"
          510,000
              EGP  ","Al Andalus El Gedida, Al Andalus District, New Cairo City, Cairo",Apartment,3 ,3 ,187 sqm,"['Unfurnished', 'Security', 'Concierge', 'Maid Service', 'Lobby in Building', 'Balcony', 'Networked', 'Pets Allowed', 'View of Landmark', 'Covered Parking']",Listed:31 minutes ago
Apartment with garden at Stone Residence 128 M   .,"
          1,400,000
              EGP  ","Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,1 ,128 sqm,"['Unfurnished', 'Security', 'Private Garden', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Shared Pool', 'Pets Allowed', 'Shared Spa']",Listed:1 day ago
Apartment with private Garden -Lake View Residence,"
          2,700,000
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,185 sqm,"['Unfurnished', 'Security', 'Private Garden', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Maids Room', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 day ago
"Apartment for sale  in El Narges, Fifth Settlement","
          2,500,000
              EGP  ","Fatma Al Sharbatly Mosque, District 3, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,220 sqm,"['Unfurnished', 'Balcony', 'Networked']",Listed:1 day ago
Apartment in district 5 with 5% Down payment     .,"
          2,445,000
              EGP  ","District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,1 ,126 sqm,"['Unfurnished', 'Security', 'Balcony', 'Shared Gym', 'Shared Pool', 'Shared Spa']",Listed:1 day ago
Good opportunity in Eastown parks 191 corner .....,"
          3,500,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,4 ,191 sqm,"['Unfurnished', 'Security', 'Maid Service', 'Maids Room', 'Shared Pool', 'Pets Allowed', 'View of Landmark', ""Children's Play Area""]",Listed:17 hours ago
Apartment for sale in Midtown New Cairo 250 m,"
          3,500,000
              EGP  ","Midtown, South Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,250 sqm,"['Unfurnished', 'Private Garden', 'Maid Service', 'Balcony', 'Walk-in Closet', 'View of Water', 'Barbecue Area']",Listed:21 hours ago
Apartment for sale in Village Garden Katameya -VGK,"
          2,300,000
              EGP  ","Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,176 sqm,"['Unfurnished', 'Security', 'Lobby in Building', 'Balcony', 'Networked', 'View of Landmark']",Listed:17 hours ago
شقة مقدم 99 الف والباقي تقسيط على 7سنوات ميدتاون,"
          990,000
              EGP  ","Midtown Sky, New Capital Compounds, New Capital City, Cairo",Apartment,1 ,1 ,90 sqm,"['Unfurnished', 'Kitchen Appliances', 'Central A/C', 'Security', ""Children's Pool"", 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:23 minutes ago
Apartment 190 m prime location 25% discount,"
          1,600,000
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,190 sqm,"['Partly furnished', 'Security', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Maids Room', 'Shared Pool', 'View of Water', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 day ago
Great chance Apartment 164 m2 - New Nargis,"
          1,328,400
              EGP  ","New Narges, New Cairo City, Cairo",Apartment,3 ,2 ,164 sqm,"['Unfurnished', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Study', 'Walk-in Closet', 'Networked', 'View of Landmark', 'Covered Parking']",Listed:1 day ago
Apartment For Sale- Zahraa Maadi-Cairo super lux .,"
          1,850,000
              EGP  ","13th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,200 sqm,"['Partly furnished', 'Kitchen Appliances', 'Security', 'Balcony', 'Networked', 'Covered Parking']",Listed:1 day ago
Apartment 160 sqm in eastown semi finished .,"
          3,250,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,160 sqm,"['Unfurnished', 'Security', 'Concierge', 'Balcony', 'Shared Gym', 'Study', 'Networked', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 day ago
Apartment For Sale Maadi Sarayat-Cairo  super lux.,"
          2,100,000
              EGP  ","Sarayat Al Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,160 sqm,"['Partly furnished', 'Kitchen Appliances', 'Central A/C', 'Balcony', 'Covered Parking']",Listed:2 hours ago
Apartment 4 sale  with extensive nice view,"
          2,200,000
              EGP  ","Degla Square, Degla, Hay El Maadi, Cairo",Apartment,3 ,3 ,200 sqm,"['Furnished', 'Kitchen Appliances', 'Central A/C', 'Security', 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Study', 'Walk-in Closet', 'Networked', 'Pets Allowed', 'View of Landmark', 'Barbecue Area', 'Covered Parking']",Listed:21 hours ago
Apartment IN New Capital With 11%Dp|over 11Years,"
          1,650,000
              EGP  ","Sueno, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,150 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Maid Service', 'Balcony', 'Shared Gym', 'Study', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:18 hours ago
"unit 119 m + garden + finishing with ACs,lake view","
          2,534,000
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,119 sqm,"['Unfurnished', 'Security', 'Private Garden', ""Children's Pool"", 'Concierge', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:15 hours ago
Apartment 120 Sq.m For Sale N Galleria Moon Valley,"
          1,450,000
              EGP  ","Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,120 sqm,"['Unfurnished', 'Security', 'Balcony', 'Shared Gym', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:1 day ago
Apartment For Sale In MVHP 160 Sq.m Phase One ...,"
          2,000,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,160 sqm,"['Unfurnished', 'Security', 'Balcony', 'Shared Gym', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:1 day ago
Green Open View Apartment For Sale In Maadi Degla,"
          3,200,000
              EGP  ","Degla Square, Degla, Hay El Maadi, Cairo",Apartment,3 ,3 ,230 sqm,"['Partly furnished', 'Kitchen Appliances', 'Security', 'Built in Wardrobes', 'Balcony', 'Walk-in Closet', 'Networked', 'Pets Allowed', 'Covered Parking']",Listed:1 day ago
Cozy Furnished Apartment For Sale In Zamalek,"
          3,700,000
              EGP  ","Hassan Assem St., Zamalek, Cairo",Apartment,2 ,1 ,135 sqm,"['Furnished', 'Kitchen Appliances', 'Security', 'Balcony']",Listed:1 day ago
Apartment for sale in Mivida Compound New Cairo .,"
          3,200,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,156 sqm,"['Unfurnished', 'Central A/C', 'Security', 'Concierge', 'Balcony', 'Shared Gym', 'Study', 'Networked', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 day ago
Brand new apartment for sale in maadi sarayat,"
          4,800,000
              EGP  ","Sarayat Al Maadi, Hay El Maadi, Cairo",Apartment,5 ,4 ,320 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Study', 'Walk-in Closet', 'Networked', 'Pets Allowed', 'Barbecue Area', 'Covered Parking']",Listed:3 hours ago
Apartment for sale prime location Azad next to AUC,"
          3,760,000
              EGP  ","Azad, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,177 sqm,"['Unfurnished', 'Security', 'Balcony', 'Pets Allowed']",Listed:1 day ago
Apartment 135 m prime location 10% over 10 years,"
          1,380,000
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,135 sqm,"['Partly furnished', 'Security', 'Private Garden', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Shared Pool', 'View of Water', ""Children's Play Area"", 'Covered Parking', 'Shared Spa']",Listed:1 day ago
Apartment 86 meter for sale fully finished,"
          1,100,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,1 ,2 ,86 sqm,"['Partly furnished', 'Kitchen Appliances', 'Central A/C', 'Security', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Shared Gym', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:19 hours ago
apartment for sale at La mirada new Cairo,"
          2,795,000
              EGP  ","La Mirada Compound, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,218 sqm,"['Unfurnished', 'Security', 'Lobby in Building', 'Balcony', 'Networked', 'Pets Allowed']",Listed:1 hour ago
Get Discount 20% in Taj City New Cairo With 10%Dp,"
          1,688,000
              EGP  ","Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,128 sqm,"['Unfurnished', 'Security', 'Balcony', 'Study', 'Networked', 'Pets Allowed', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:1 day ago
4th Floor Amazing View 162m Apartment For Sale,"
          1,450,000
              EGP  ","The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,162 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Lobby in Building', 'Balcony', 'Shared Gym', 'Maids Room', 'Walk-in Closet', 'Shared Pool', 'Pets Allowed', 'View of Water', ""Children's Play Area""]",Listed:16 hours ago
Amazing Apartment for sale south academy district,"
          2,850,000
              EGP  ","Al Shaimaa St., Area F, Ganoob El Acadimia, New Cairo City, Cairo",Apartment,3 ,2 ,210 sqm,"['Unfurnished', 'Kitchen Appliances', 'Concierge', 'Balcony', 'Networked']",Listed:22 hours ago
apartment For sale or rent degla Maadi super lux .,"
          2,200,000
              EGP  ","Street 210, Degla, Hay El Maadi, Cairo",Apartment,2 ,2 ,180 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', 'Balcony']",Listed:2 hours ago
Luxurious Move-In Ready Apt Sale in Zamalek Centre,"
          5,000,000
              EGP  ","Ahmed Heshmat St., Zamalek, Cairo",Apartment,2 ,2 ,200 sqm,"['Partly furnished', 'Security', 'Balcony']",Listed:23 hours ago
Recently Renovated Apartment For Sale In Zamalek,"
          7,000,000
              EGP  ","Al Mansour Mohamed St., Zamalek, Cairo",Apartment,4 ,3 ,220 sqm,"['Partly furnished', 'Security']",Listed:23 hours ago
prime located apartment for sale at Bloomfields,"
          2,000,000
              EGP  ","Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,3 ,3 ,141 sqm,"['Unfurnished', 'Security', 'Private Garden', ""Children's Pool"", 'Concierge', 'Shared Gym', 'Maids Room', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:19 hours ago
Apartment for sale at Taj City,"
          1,500,000
              EGP  ","Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,117 sqm,"['Unfurnished', 'Security', 'Private Garden', 'Balcony', 'Shared Gym', 'Shared Pool', 'Pets Allowed', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:20 hours ago
